family,size,seed,label,status,N,E,mean_degree,s,t,terminal_fallback,L,k,wsum,B,Etilde,margin_c1,alphabar,min_edge_weight,max_edge_weight,path_status,scatter_status,n_path_edge,n_path_micro,path_min_weight,scatter_N0,scatter_N1,scatter_N2,scatter_edge_noaux,scatter_edge_aux,scatter_micro_noaux,scatter_micro_aux,ln_ratio_edge,ln_ratio_micro,c_req_edge,c_req_micro,ln_ratio_edge_noaux,ln_ratio_micro_noaux,c_req_edge_noaux,c_req_micro_noaux,frontier,dp_states,dig,max_coeff_bits,coeff_bound_bits,legacy_dig96_exact,n_matching_calls,path_wall_s,scatter_wall_s,peak_rss_mib_after_path,peak_rss_mib_final,censor_note
sparse,20,1,sparse_N20_seed1,ok,20,42,4.2,0,19,0,4,6,1.1047071162611246,1.9257291555404663,0.5736565358024517,3.8526869283950966,0.7705373856790193,0.022617729380726814,0.9628645777702332,ok,ok,13,416,1.1047071162611246,159512,85272,9283,159512,254067,653361152,837504000,9.880403933282993,14.51525133751023,2.5645488763860826,3.7675657553511126,9.414925076025199,14.266955339944817,2.4437295972935824,3.7031182665776488,7,127,24,18,23,1,4,9.287428110837936e-05,0.006051680073142052,35.75,35.75,
sparse,20,2,sparse_N20_seed2,ok,20,47,4.7,0,19,0,6,8,0.9533780571073294,1.977965235710144,0.48199940013861786,6.036001199722764,0.8622858856746807,0.01176380179822445,0.988982617855072,ok,ok,106,13568,0.9533780571073294,115977,201754,53198,115977,370929,7600668672,15083339776,8.160326854499964,13.921387287530582,1.3519425501232125,2.306392399022385,6.997708080455108,13.236032705494615,1.1593284773993278,2.192847924898118,7,128,30,19,29,1,4,0.0005685985088348389,0.007140295580029488,35.7578125,35.7578125,
sparse,20,3,sparse_N20_seed3,ok,20,42,4.2,0,19,0,3,5,0.5259551480412483,1.9248887300491333,0.27323924745916256,3.453521505081675,0.8633803762704187,0.01226256787776947,0.9624443650245667,ok,ok,4,64,0.5259551480412483,90428,37304,2956,90428,130688,92598272,112454656,10.394273720964392,14.37917755722168,3.009760821141483,4.163627629381627,10.02601487181582,14.18489795517549,2.9031279686728655,4.107372122716815,6,63,21,17,20,1,4,5.648098886013031e-05,0.004126233048737049,35.06640625,35.06640625,
sparse,20,4,sparse_N20_seed4,ok,20,39,3.9,0,19,0,3,5,1.4198055565357208,1.9872325658798218,0.7144637124578924,2.571072575084215,0.6427681437710537,0.10577206313610077,0.9936162829399109,ok,ok,2,32,1.4198055565357208,61153,27101,2353,61153,90607,62620672,77098752,10.721139571179673,14.694861748832396,4.169909350314043,5.715459723400095,10.327987019041274,14.486870102400944,4.016995521296392,5.634562883518148,6,63,21,16,20,1,4,6.22384250164032e-05,0.0059282779693603516,35.67578125,35.67578125,
sparse,20,5,sparse_N20_seed5,ok,20,45,4.5,0,4,1,3,5,0.42801838170271367,1.9620612859725952,0.218147304960734,3.563705390078532,0.890926347519633,0.0010000000474974513,0.9810306429862976,ok,ok,5,80,0.42801838170271367,110333,43359,3303,110333,156995,112980992,136026368,10.354531324255456,14.34633267258663,2.9055520001969852,4.02567864126122,10.00182043210439,14.16070351546406,2.8065789220258703,3.973589835705248,6,63,22,17,21,1,4,7.193442434072495e-05,0.006138407625257969,35.5234375,35.5234375,
sparse,20,6,sparse_N20_seed6,ok,20,45,4.5,0,1,1,3,5,0.8361988589167595,1.9720524549484253,0.42402465351188057,3.151950692976239,0.7879876732440597,0.05757014825940132,0.9860262274742126,ok,ok,5,80,0.8361988589167595,139470,49835,3407,139470,192712,142817280,169204992,10.559514212992633,14.564594873573395,3.3501520935981968,4.620819388459638,10.236166890918641,14.395049974278312,3.2475656785268776,4.567028921599577,8,175,22,18,21,1,4,4.84781339764595e-05,0.00493372417986393,35.46875,35.46875,
sparse,20,7,sparse_N20_seed7,ok,20,46,4.6,0,10,1,3,5,0.8624389916658401,1.9201418161392212,0.44915379917089854,3.101692401658203,0.7754231004145508,0.02670235000550747,0.9600709080696106,ok,ok,5,80,0.8624389916658401,137519,60188,4667,137519,202374,140819456,172830464,10.608434837211824,14.585795060418278,3.420208538906187,4.702527901419409,10.222079455926616,14.380962539286287,3.2956457740496017,4.6364889476461455,6,63,22,18,21,1,4,4.4034793972969055e-05,0.004590427502989769,35.53125,35.53125,
sparse,20,8,sparse_N20_seed8,ok,20,45,4.5,0,19,0,3,5,0.6121490746736526,1.9223408699035645,0.3184394007626553,3.3631211984746896,0.8407802996186724,0.014002230949699879,0.9611704349517822,ok,ok,4,64,0.6121490746736526,125556,52294,4097,125556,181947,128569344,156392704,10.72517635373832,14.708997652011316,3.189054369673807,4.373615098582364,10.354212792049157,14.51309587540883,3.0787510116332437,4.315365108456722,7,120,22,17,21,1,4,5.1992014050483704e-05,0.004696997813880444,35.29296875,35.51171875,
sparse,20,9,sparse_N20_seed9,ok,20,43,4.3,0,7,1,3,5,0.8067222386598587,1.9826520681381226,0.40689047343412044,3.186219053131759,0.7965547632829397,0.021887149661779404,0.9913260340690613,ok,ok,4,64,0.8067222386598587,105553,44334,3418,105553,153305,108086272,131660288,10.553890318994172,14.536852504094469,3.3123555358256596,4.562414655642112,10.180674114301219,14.339557197660891,3.1952210267196026,4.50049320481165,7,86,21,17,20,1,4,4.95007261633873e-05,0.004555162973701954,35.50390625,35.50390625,
sparse,20,10,sparse_N20_seed10,ok,20,41,4.1,0,2,1,3,5,1.031369898468256,1.961572289466858,0.5257873513030588,2.9484252973938823,0.7371063243484706,0.029557574540376663,0.980786144733429,ok,ok,5,80,1.031369898468256,80605,32521,2541,80605,115667,82539520,99840768,10.049032739667014,14.037060520189616,3.408271102730454,4.7608669389036224,9.687878048876,13.84676113223567,3.2857803985873852,4.696324219058507,7,116,21,17,20,1,4,4.3109990656375885e-05,0.004368241876363754,35.76953125,35.76953125,
