family,size,seed,L,E,margin_c1,observed_c,predicted_c,abs_err,rel_err
mtn_knn,40,23,7,102,6.422445,4.654012,4.214204,0.439808,0.094501
mtn_knn,40,24,9,100,8.044645,3.598645,3.90498,0.306334,0.085125
mtn_knn,40,25,9,105,8.357931,3.413966,3.826127,0.412161,0.120728
mtn_knn,40,26,10,99,9.643172,2.872924,3.482961,0.610037,0.21234
mtn_knn,40,27,7,97,5.939062,5.03969,4.459314,0.580376,0.115161
mtn_knn,40,28,8,97,6.552563,4.284132,4.391107,0.106975,0.02497
mtn_knn,40,29,8,97,7.944591,3.862869,3.62171,0.24116,0.06243
mtn_knn,40,30,9,104,7.847179,3.597506,4.061055,0.463548,0.128853
mtn_knn,40,31,8,102,7.723215,3.605667,3.800795,0.195128,0.054117
mtn_knn,40,32,7,99,4.787406,6.005346,5.581352,0.423994,0.070603
mtn_knn,40,33,9,102,9.571098,3.016151,3.306122,0.289971,0.096139
mtn_knn,40,34,8,101,7.993981,3.442518,3.657802,0.215284,0.062537
mtn_knn,40,35,7,100,4.825145,6.540479,5.561791,0.978689,0.149636
mtn_knn,40,36,10,103,9.017581,3.320825,3.775395,0.45457,0.136885
mtn_knn,40,37,9,99,8.592698,3.280137,3.642386,0.362249,0.110437
mtn_knn,40,38,9,102,9.611669,2.947247,3.292167,0.344921,0.117031
mtn_knn,40,39,8,96,7.884761,3.922004,3.63399,0.288013,0.073435
mtn_knn,40,40,8,101,7.32447,3.754847,3.992153,0.237305,0.0632
mtn_knn,60,1,11,149,10.201058,4.058089,3.980405,0.077684,0.019143
mtn_knn,60,2,9,150,8.274135,4.819638,4.363476,0.456163,0.094647
mtn_knn,60,3,10,147,8.81978,4.242515,4.326545,0.08403,0.019807
mtn_knn,60,4,10,147,10.449815,3.805294,3.65166,0.153634,0.040374
mtn_knn,60,5,11,145,9.985061,3.750335,4.034987,0.284652,0.0759
mtn_knn,60,6,11,148,11.413187,3.28953,3.550845,0.261314,0.079438
mtn_knn,60,7,9,146,8.16749,4.630397,4.382174,0.248223,0.053607
mtn_knn,60,8,10,143,9.293398,4.098247,4.071716,0.026531,0.006474
mtn_knn,60,9,11,153,11.176852,3.527101,3.660311,0.13321,0.037768
mtn_knn,60,10,11,150,9.598846,3.987874,4.238188,0.250313,0.062769
mtn_knn,60,11,8,148,5.325196,6.950705,6.320868,0.629837,0.090615
mtn_knn,60,12,9,145,6.894331,5.933046,5.179888,0.753158,0.126943
mtn_knn,60,13,11,155,10.047576,3.704596,4.086655,0.382059,0.103131
mtn_knn,60,14,11,150,10.896208,3.479477,3.733566,0.254089,0.073025
mtn_knn,60,15,11,149,10.981233,3.699911,3.697612,0.002298,0.000621
mtn_knn,60,16,10,142,8.345297,4.433485,4.524573,0.091089,0.020546
mtn_knn,60,17,9,157,9.486195,3.952772,3.861563,0.091209,0.023075
mtn_knn,60,18,9,151,7.861318,5.259294,4.602389,0.656905,0.124904
mtn_knn,60,19,15,143,13.762574,3.004483,3.581045,0.576562,0.1919
mtn_knn,60,20,8,154,7.522234,5.088689,4.535823,0.552866,0.108646
mtn_knn,60,21,8,150,6.351288,6.100576,5.324136,0.77644,0.127273
mtn_knn,60,22,10,140,8.377326,4.740149,4.48769,0.252459,0.05326
mtn_knn,60,23,8,152,6.276924,6.044023,5.411619,0.632404,0.104633
mtn_knn,60,24,12,150,9.870328,4.267688,4.35351,0.085822,0.02011
mtn_knn,60,25,11,157,10.257839,3.938393,4.017344,0.078951,0.020046
mtn_knn,60,26,11,154,10.433594,3.714347,3.928283,0.213935,0.057597
mtn_knn,60,27,10,148,8.942844,4.222938,4.275775,0.052838,0.012512
mtn_knn,60,28,11,144,9.904628,3.864361,4.059672,0.195311,0.050542
mtn_knn,60,29,11,145,9.635545,4.706607,4.18135,0.525256,0.1116
mtn_knn,60,30,10,157,8.829562,4.747604,4.407965,0.339639,0.071539
mtn_knn,60,31,10,146,10.143316,3.761589,3.754218,0.007371,0.001959
mtn_knn,60,32,12,151,10.152345,4.276401,4.240146,0.036255,0.008478
mtn_knn,60,33,12,151,12.54924,3.157917,3.430282,0.272364,0.086248
mtn_knn,60,34,9,149,8.26328,4.494672,4.359844,0.134827,0.029997
mtn_knn,60,35,11,145,9.115893,4.52455,4.419709,0.104841,0.023172
mtn_knn,60,36,11,154,9.989572,4.325762,4.102889,0.222872,0.051522
mtn_knn,60,37,12,155,11.20153,3.616655,3.869993,0.253338,0.070048
mtn_knn,60,38,10,150,8.162772,5.093118,4.703408,0.38971,0.076517
mtn_knn,60,39,12,151,10.254068,3.977392,4.198083,0.220692,0.055487
mtn_knn,60,40,10,144,9.189813,4.319396,4.126382,0.193014,0.044686
mtn_knn,80,1,13,197,11.619688,4.224117,4.166385,0.057731,0.013667
mtn_knn,80,2,13,196,11.1471,4.66396,4.337741,0.326218,0.069945
mtn_knn,80,3,12,199,10.172991,5.146029,4.545376,0.600653,0.116722
mtn_knn,80,4,13,192,13.451551,3.645262,3.576892,0.068371,0.018756
mtn_knn,80,5,13,196,12.643536,4.078212,3.824345,0.253868,0.06225
mtn_knn,80,6,15,197,15.26168,3.181819,3.472084,0.290264,0.091226
mtn_knn,80,7,10,198,9.15928,5.127805,4.542286,0.585519,0.114185
mtn_knn,80,8,14,190,13.209185,3.627562,3.806631,0.179069,0.049364
mtn_knn,80,9,12,197,11.664951,4.269903,3.954002,0.315902,0.073983
mtn_knn,80,10,11,200,10.516763,4.675892,4.18467,0.491222,0.105054
mtn_knn,80,11,13,190,10.273004,4.82313,4.67182,0.15131,0.031372
mtn_knn,80,12,14,198,12.319363,3.992543,4.120305,0.127762,0.032
mtn_knn,80,13,10,198,8.080469,5.625714,5.14872,0.476994,0.084788
mtn_knn,80,14,14,200,13.34583,3.661482,3.81211,0.150628,0.041139
mtn_knn,80,15,13,195,12.310164,4.097356,3.923106,0.17425,0.042527
mtn_knn,80,16,14,194,12.529447,3.846655,4.032378,0.185723,0.048282
mtn_knn,80,17,12,204,10.861548,4.40241,4.283652,0.118757,0.026976
mtn_knn,80,18,13,200,10.717112,4.806403,4.533582,0.27282,0.056762
mtn_knn,80,19,14,190,12.378636,4.242205,4.062038,0.180167,0.04247
mtn_knn,80,20,10,203,8.186395,5.853333,5.117335,0.735997,0.12574
mtn_knn,80,21,11,196,9.236125,5.242875,4.739597,0.503278,0.095993
mtn_knn,80,22,13,193,11.547268,4.327502,4.171968,0.155534,0.035941
mtn_knn,80,23,12,203,10.38006,4.466057,4.476878,0.010821,0.002423
mtn_knn,80,24,13,196,11.3377,4.693566,4.264819,0.428747,0.091348
mtn_knn,80,25,11,199,10.170641,4.57821,4.32138,0.25683,0.056098
mtn_knn,80,26,15,194,13.951655,3.538331,3.785381,0.247051,0.069821
mtn_knn,80,27,11,194,9.157104,5.09429,4.767542,0.326748,0.06414
mtn_knn,80,28,11,194,9.88872,4.830616,4.414816,0.415801,0.086076
mtn_knn,80,29,13,200,12.973403,3.94457,3.745117,0.199453,0.050564
mtn_knn,80,30,15,203,13.453799,3.784511,3.964445,0.179934,0.047545
mtn_knn,80,31,14,196,11.36617,4.3049,4.455511,0.150611,0.034986
mtn_knn,80,32,15,201,12.573524,4.126749,4.232889,0.10614,0.02572
mtn_knn,80,33,13,199,13.433871,3.681257,3.612431,0.068826,0.018696
mtn_knn,80,34,11,201,9.76619,4.99591,4.512187,0.483723,0.096824
mtn_knn,80,35,12,197,9.739639,5.360221,4.735621,0.624601,0.116525
mtn_knn,80,36,13,197,11.781533,4.349303,4.109151,0.240152,0.055216
mtn_knn,80,37,13,202,11.614232,4.362956,4.193304,0.169652,0.038885
mtn_knn,80,38,13,204,10.527697,4.55362,4.636907,0.083288,0.01829
mtn_knn,80,39,11,199,10.5221,4.814228,4.177037,0.63719,0.132356
mtn_knn,80,40,12,193,10.395505,4.64394,4.41402,0.22992,0.04951
mtn_knn,100,1,15,245,12.283037,4.607838,4.519399,0.088439,0.019193
mtn_knn,100,2,15,254,13.171135,4.364655,4.246348,0.118307,0.027106
mtn_knn,100,3,16,245,14.141488,4.279298,4.087322,0.191976,0.044862
mtn_knn,100,4,18,238,18.379802,3.192892,3.375622,0.18273,0.05723
mtn_knn,100,5,14,255,13.639329,4.033696,3.936103,0.097592,0.024194
mtn_knn,100,6,17,245,17.204739,3.347579,3.492624,0.145044,0.043328
mtn_knn,100,7,12,245,11.166594,4.744682,4.356329,0.388352,0.08185
mtn_knn,100,8,17,242,16.288157,3.581931,3.680415,0.098484,0.027495
mtn_knn,100,9,13,245,12.396888,4.65557,4.10863,0.54694,0.117481
mtn_knn,100,10,16,250,15.660954,3.728286,3.70568,0.022606,0.006063
mtn_knn,100,11,13,238,9.554178,5.868247,5.296002,0.572245,0.097516
mtn_knn,100,12,17,248,15.094495,3.986428,3.990226,0.003798,0.000953
mtn_knn,100,13,17,244,14.20786,4.11181,4.225997,0.114187,0.02777
mtn_knn,100,14,14,243,12.963462,4.358423,4.09831,0.260113,0.059681
mtn_knn,100,15,14,251,12.791367,4.785762,4.182738,0.603024,0.126004
mtn_knn,100,16,15,241,12.843419,4.718576,4.307385,0.411191,0.087143
mtn_knn,100,17,13,248,9.863676,5.951106,5.178089,0.773017,0.129895
mtn_knn,100,18,15,242,11.186907,5.329644,4.949486,0.380158,0.071329
mtn_knn,100,19,17,241,14.699083,4.027242,4.075035,0.047793,0.011867
mtn_knn,100,20,13,246,11.026712,5.25044,4.62344,0.627,0.119419
mtn_knn,100,21,15,244,12.948338,4.561234,4.283534,0.2777,0.060883
mtn_knn,100,22,15,243,13.27731,4.641232,4.173823,0.467409,0.100708
mtn_knn,100,23,13,248,11.344281,4.832787,4.502268,0.330519,0.068391
mtn_knn,100,24,13,241,11.012569,5.380988,4.60781,0.773178,0.143687
mtn_knn,100,25,14,250,12.856967,4.281396,4.157805,0.123591,0.028867
mtn_knn,100,26,14,240,12.553845,4.967396,4.220587,0.746809,0.150342
mtn_knn,100,27,14,248,11.564567,5.198487,4.614428,0.584059,0.112352
mtn_knn,100,28,15,234,11.806123,4.800171,4.656958,0.143213,0.029835
mtn_knn,100,29,13,248,12.967754,4.43879,3.938615,0.500175,0.112683
mtn_knn,100,30,14,246,12.746938,4.593038,4.179059,0.41398,0.090132
mtn_knn,100,31,15,242,12.754103,4.531294,4.341305,0.189989,0.041928
mtn_knn,100,32,14,251,11.845806,4.766806,4.516614,0.250192,0.052486
mtn_knn,100,33,14,246,14.590712,3.91702,3.650967,0.266054,0.067922
mtn_knn,100,34,13,247,12.857347,4.469949,3.968802,0.501147,0.112115
mtn_knn,100,35,17,249,13.129611,4.496249,4.59092,0.094671,0.021056
mtn_knn,100,36,17,243,15.329993,3.792173,3.913562,0.121389,0.03201
mtn_knn,100,37,14,245,12.644727,4.58126,4.209113,0.372147,0.081232
mtn_knn,100,38,16,250,14.899286,3.884981,3.895119,0.010138,0.00261
mtn_knn,100,39,18,246,14.941896,4.521353,4.177894,0.343459,0.075964
mtn_knn,100,40,15,240,13.036829,4.311358,4.239793,0.071565,0.016599
mtn_knn,140,8,17,334,16.281685,4.277093,3.910771,0.366322,0.085647
mtn_knn,140,11,19,335,17.284692,4.429286,3.950677,0.478609,0.108055
mtn_knn,140,12,17,347,16.524044,4.498799,3.880139,0.61866,0.137517
mtn_knn,140,13,18,341,15.889773,4.527527,4.166372,0.361155,0.079769
mtn_knn,140,14,15,340,13.666114,5.032507,4.339357,0.69315,0.137735
mtn_knn,140,15,14,344,11.859163,5.655668,4.818937,0.836731,0.147946
mtn_knn,140,17,16,341,14.424585,4.929837,4.272218,0.657618,0.133396
mtn_knn,140,18,16,338,11.886435,6.090436,5.175881,0.914555,0.150163
mtn_knn,140,20,16,342,14.408411,4.890669,4.279365,0.611304,0.124994
mtn_knn,140,21,16,343,13.609292,5.346421,4.533125,0.813296,0.15212
mtn_knn,140,23,16,343,14.099192,4.964624,4.375614,0.58901,0.118641
mtn_knn,140,24,18,341,14.592938,5.16096,4.536626,0.624333,0.120972
mtn_knn,140,26,18,340,17.361143,4.202179,3.811312,0.390867,0.093015
mtn_knn,140,27,15,342,12.563406,5.652384,4.725628,0.926756,0.163958
mtn_knn,140,29,15,341,14.326274,4.775611,4.141769,0.633842,0.132725
mtn_knn,140,30,15,344,11.746975,5.889891,5.059807,0.830084,0.140934
mtn_knn,140,31,18,334,14.562609,5.267001,4.529601,0.737401,0.140004
mtn_knn,140,34,15,343,14.099565,5.054375,4.213162,0.841212,0.166433
mtn_knn,140,35,16,338,11.641164,5.938733,5.284933,0.6538,0.110091
mtn_knn,140,36,18,338,16.682164,4.356669,3.962345,0.394324,0.09051
mtn_knn,140,37,17,349,15.789644,4.579028,4.06482,0.514208,0.112296
mtn_knn,140,40,15,348,12.904907,5.464855,4.616162,0.848693,0.1553
sparse,20,1,4,42,3.852687,3.767566,2.578958,1.188608,0.315484
sparse,20,2,6,47,6.036001,2.306392,2.620049,0.313657,0.135995
sparse,20,3,3,42,3.453522,4.163628,2.214277,1.94935,0.468186
sparse,20,4,3,39,2.571073,5.71546,2.640877,3.074583,0.537942
sparse,20,5,3,45,3.563705,4.025679,2.369741,1.655937,0.411344
sparse,20,6,3,45,3.151951,4.620819,2.679312,1.941507,0.420165
sparse,20,7,3,46,3.101692,4.702528,2.804688,1.89784,0.403579
sparse,20,8,3,45,3.363121,4.373615,2.511078,1.862537,0.425858
sparse,20,9,3,43,3.186219,4.562415,2.48546,2.076955,0.455231
sparse,20,10,3,41,2.948425,4.760867,2.499073,2.261794,0.47508
sparse,20,11,3,58,3.393935,4.346564,3.353161,0.993403,0.228549
sparse,20,12,4,54,3.774241,3.960241,3.402735,0.557506,0.140776
sparse,20,13,5,42,5.031817,2.664683,2.429497,0.235187,0.088261
sparse,20,14,5,49,5.154344,2.728343,2.717662,0.010681,0.003915
sparse,20,15,3,34,2.157778,6.56569,2.411253,4.154437,0.63275
sparse,20,16,3,51,3.346486,4.525478,2.956163,1.569315,0.346773
sparse,20,17,3,43,3.532456,4.025443,2.241845,1.783598,0.443081
sparse,20,18,3,51,2.822085,5.900663,3.505479,2.395184,0.405918
sparse,20,19,4,55,4.250543,3.759858,3.071367,0.688491,0.183116
sparse,20,20,5,46,5.513163,2.623843,2.408238,0.215605,0.082172
sparse,20,21,4,41,4.486956,3.204772,2.152282,1.05249,0.328413
sparse,20,22,3,46,3.134018,4.972705,2.775759,2.196947,0.441801
sparse,20,23,3,45,3.210498,4.444841,2.630452,1.81439,0.408201
sparse,20,24,3,46,3.163965,4.506022,2.749486,1.756535,0.38982
sparse,20,25,3,50,3.01237,4.852994,3.20801,1.644984,0.338963
sparse,20,26,3,37,3.496735,4.046563,1.767644,2.27892,0.563174
sparse,20,27,3,43,2.625457,5.658755,3.016321,2.642434,0.466964
sparse,20,28,4,48,4.121123,3.648741,2.785747,0.862994,0.236518
sparse,20,29,3,42,3.21398,4.491103,2.37931,2.111793,0.470217
sparse,20,30,4,42,4.324983,3.253001,2.297331,0.95567,0.293781
sparse,20,31,3,48,3.336833,4.338737,2.754571,1.584166,0.365121
sparse,20,32,3,49,3.469837,4.271239,2.717718,1.553522,0.363717
sparse,20,33,6,41,5.645053,2.303889,2.521663,0.217774,0.094525
sparse,20,34,4,39,3.814288,3.868234,2.380195,1.488039,0.384682
sparse,20,35,3,51,3.610505,3.895408,2.739993,1.155414,0.296609
sparse,20,36,3,41,2.447936,6.417095,3.010017,3.407078,0.530938
sparse,20,37,3,50,3.766598,3.898048,2.565634,1.332415,0.341816
sparse,20,38,5,52,5.482681,2.701549,2.680274,0.021275,0.007875
sparse,20,39,3,51,3.209579,4.645862,3.082261,1.563601,0.336558
sparse,20,40,3,46,3.648677,3.764148,2.384228,1.37992,0.366596
sparse,30,1,3,72,3.225669,5.747209,4.303403,1.443807,0.251219
sparse,30,2,4,70,3.772667,5.319704,4.199782,1.119922,0.210523
sparse,30,3,7,69,7.641431,2.679373,2.950304,0.270931,0.101117
sparse,30,4,8,67,7.406384,2.812243,3.307038,0.494794,0.175943
sparse,30,5,6,73,6.60049,3.037067,3.167566,0.130499,0.042969
sparse,30,6,4,73,3.666728,5.111546,4.453495,0.65805,0.128738
sparse,30,7,3,69,2.717707,6.449226,4.926612,1.522615,0.236093
sparse,30,8,3,70,2.912726,6.078055,4.653893,1.424162,0.234312
sparse,30,9,3,69,3.279897,5.500994,4.082167,1.418827,0.257922
sparse,30,10,7,72,6.457834,3.253829,3.567265,0.313437,0.096329
sparse,30,11,4,79,3.31629,6.118817,5.199598,0.919219,0.150228
sparse,30,12,4,76,4.289664,4.553322,3.915362,0.637961,0.140109
sparse,30,13,4,71,4.069672,4.569896,3.933596,0.6363,0.139237
sparse,30,14,4,69,4.352537,4.354041,3.602026,0.752016,0.172717
sparse,30,15,4,60,2.129665,9.338147,6.602634,2.735513,0.29294
sparse,30,16,4,73,4.416934,4.253848,3.697079,0.556768,0.130886
sparse,30,17,3,67,3.230944,5.323496,4.038718,1.284778,0.241341
sparse,30,18,4,69,4.515767,4.182059,3.471824,0.710235,0.169829
sparse,30,19,3,69,2.770077,6.49588,4.833472,1.662409,0.255917
sparse,30,20,7,70,6.96456,2.915302,3.260934,0.345632,0.118558
sparse,30,21,4,76,4.39048,4.354174,3.825455,0.528718,0.121428
sparse,30,22,3,74,3.768949,4.872556,3.767167,1.105388,0.22686
sparse,30,23,3,66,3.782166,4.704859,3.404117,1.300741,0.276468
sparse,30,24,3,68,3.170553,5.669587,4.169693,1.499894,0.264551
sparse,30,25,5,69,5.523336,3.615272,3.252892,0.36238,0.100236
sparse,30,26,3,62,3.234051,5.318113,3.757454,1.560659,0.293461
sparse,30,27,3,72,2.873,6.346276,4.831657,1.514619,0.238663
sparse,30,28,3,71,2.914438,6.118463,4.707454,1.411009,0.230615
sparse,30,29,4,60,4.104267,4.570201,3.426043,1.144158,0.250352
sparse,30,30,4,62,4.388349,4.316369,3.290682,1.025687,0.237627
sparse,30,31,3,80,3.107524,5.789667,4.859176,0.930492,0.160716
sparse,30,32,3,71,3.294325,5.353069,4.16461,1.188459,0.222014
sparse,30,33,5,70,4.772762,4.109943,3.799319,0.310624,0.075579
sparse,30,34,3,65,3.058803,5.78273,4.151411,1.63132,0.282102
sparse,30,35,7,67,7.235432,2.728386,3.068832,0.340447,0.124779
sparse,30,36,4,68,3.864301,5.025556,4.013428,1.012128,0.201396
sparse,30,37,4,67,4.049874,5.001603,3.787213,1.21439,0.2428
sparse,30,38,4,76,4.114087,4.827094,4.082458,0.744636,0.154262
sparse,30,39,3,70,3.409298,5.423597,3.976043,1.447554,0.266899
sparse,30,40,3,70,3.24247,5.307554,4.180613,1.12694,0.212328
sparse,40,1,5,91,4.668361,4.904298,4.534327,0.369971,0.075438
sparse,40,2,3,87,3.269568,6.095649,4.915089,1.180559,0.193672
sparse,40,3,3,98,3.74407,5.236266,4.659987,0.57628,0.110055
sparse,40,4,5,88,4.557809,5.410696,4.559238,0.851457,0.157366
sparse,40,5,3,112,3.647438,5.695758,5.20689,0.488868,0.08583
sparse,40,6,3,94,3.384735,5.895992,5.012301,0.883691,0.14988
sparse,40,7,4,92,4.00292,5.379916,4.747889,0.632026,0.117479
sparse,40,8,5,96,5.225854,4.373407,4.168994,0.204413,0.04674
sparse,40,9,3,93,2.758016,7.351772,6.10642,1.245352,0.169395
sparse,40,10,3,90,2.856173,6.903393,5.763775,1.139618,0.165081
sparse,40,11,5,102,4.70429,5.030777,4.780268,0.250509,0.049795
sparse,40,12,3,102,3.41841,5.873548,5.239289,0.634259,0.107986
sparse,40,13,3,101,3.406765,5.955275,5.223749,0.731526,0.122837
sparse,40,14,4,99,3.645525,5.938475,5.446022,0.492453,0.082926
sparse,40,15,3,96,3.798196,5.201178,4.53079,0.670388,0.128892
sparse,40,16,6,107,6.04875,4.070048,4.187668,0.11762,0.028899
sparse,40,17,3,93,3.366072,5.912676,5.00334,0.909336,0.153794
sparse,40,18,5,90,4.903283,4.543988,4.291016,0.252972,0.055672
sparse,40,19,4,81,3.332445,6.708551,5.261168,1.447382,0.215752
sparse,40,20,5,103,4.890592,4.760256,4.621243,0.139013,0.029203
sparse,40,21,3,103,2.6873,7.983084,6.706688,1.276396,0.159888
sparse,40,22,3,108,2.948258,7.131893,6.299029,0.832864,0.11678
sparse,40,23,3,85,3.314668,6.205589,4.76706,1.43853,0.231812
sparse,40,24,5,90,4.61252,4.94535,4.561513,0.383837,0.077616
sparse,40,25,7,90,6.581629,3.749306,3.892319,0.143013,0.038144
sparse,40,26,6,92,5.82062,4.150233,4.051656,0.098576,0.023752
sparse,40,27,4,104,3.899477,5.717801,5.237498,0.480303,0.084001
sparse,40,28,3,88,2.625503,7.613515,6.171165,1.442351,0.189446
sparse,40,29,3,86,2.861217,6.806751,5.569833,1.236918,0.181719
sparse,40,30,3,85,2.218847,8.945467,7.121364,1.824104,0.203914
sparse,40,31,4,100,4.190941,5.35995,4.765006,0.594944,0.110998
sparse,40,32,6,101,5.405338,4.424414,4.562652,0.138237,0.031244
sparse,40,33,3,109,3.465055,6.080539,5.390324,0.690215,0.113512
sparse,40,34,3,89,2.84501,7.313842,5.740965,1.572877,0.215055
sparse,40,35,3,101,3.782568,5.221979,4.704762,0.517217,0.099046
sparse,40,36,3,89,3.210824,5.973576,5.086889,0.886686,0.148435
sparse,40,37,3,97,2.825081,7.106907,6.133872,0.973035,0.136914
sparse,40,38,3,96,3.24271,6.094029,5.306928,0.787101,0.129159
sparse,40,39,7,100,7.074171,3.586487,3.793582,0.207095,0.057743
sparse,40,40,3,95,3.026153,6.508684,5.646677,0.862007,0.132439
sparse,60,1,5,144,4.899968,5.654182,5.403374,0.250808,0.044358
sparse,60,2,7,137,7.137336,4.290561,4.270179,0.020381,0.00475
sparse,60,3,6,147,6.376303,4.458324,4.548673,0.09035,0.020265
sparse,60,4,3,148,2.660316,8.62875,8.350717,0.278033,0.032222
sparse,60,5,5,162,5.406482,5.205331,5.149134,0.056197,0.010796
sparse,60,6,4,129,3.535527,7.15898,6.481403,0.677577,0.094647
sparse,60,7,3,143,3.055714,7.468167,7.140076,0.328091,0.043932
sparse,60,8,3,130,1.899895,12.122205,10.903565,1.21864,0.10053
sparse,60,9,3,125,2.814685,8.108185,7.198667,0.909518,0.112173
sparse,60,10,3,147,2.524001,9.366529,8.77065,0.595879,0.063618
sparse,60,11,4,152,3.9186,6.569968,6.332075,0.237893,0.036209
sparse,60,12,5,151,4.382856,6.361068,6.166158,0.19491,0.030641
sparse,60,13,3,158,3.384116,6.680768,6.788122,0.107354,0.016069
sparse,60,14,5,156,5.152544,5.237561,5.318183,0.080622,0.015393
sparse,60,15,3,134,3.166658,7.105587,6.652489,0.453098,0.063766
sparse,60,16,3,141,3.35515,6.450285,6.454293,0.004008,0.000621
sparse,60,17,3,143,3.222136,7.074826,6.771295,0.303532,0.042903
sparse,60,18,6,140,5.611815,5.123829,5.06777,0.056058,0.010941
sparse,60,19,5,143,5.254935,5.100835,5.023042,0.077793,0.015251
sparse,60,20,5,155,5.215238,5.270466,5.239989,0.030477,0.005783
sparse,60,21,6,167,6.20845,4.579265,4.909302,0.330037,0.072072
sparse,60,22,8,165,8.138772,3.934192,4.290269,0.356077,0.090508
sparse,60,23,9,127,8.160328,4.103718,4.188406,0.084687,0.020637
sparse,60,24,4,149,4.240904,5.936656,5.796476,0.140181,0.023613
sparse,60,25,4,144,4.384579,5.624857,5.516492,0.108365,0.019265
sparse,60,26,5,150,4.390739,6.394424,6.137584,0.256841,0.040166
sparse,60,27,4,149,4.477127,5.486235,5.490642,0.004406,0.000803
sparse,60,28,3,141,3.183636,7.020294,6.802008,0.218286,0.031094
sparse,60,29,4,143,4.05315,6.119738,5.947693,0.172044,0.028113
sparse,60,30,4,141,2.771494,9.456294,8.639378,0.816916,0.086389
sparse,60,31,3,137,3.586713,6.183252,5.944789,0.238463,0.038566
sparse,60,32,7,157,6.768105,4.434318,4.73601,0.301692,0.068036
sparse,60,33,7,163,6.915915,4.472443,4.697513,0.22507,0.050324
sparse,60,34,5,155,5.041444,5.492239,5.420629,0.071611,0.013038
sparse,60,35,3,139,2.846664,7.727309,7.549146,0.178162,0.023056
sparse,60,36,3,138,3.002397,7.311695,7.129759,0.181936,0.024883
sparse,60,37,3,146,3.069322,7.3373,7.186661,0.150639,0.020531
sparse,60,38,5,145,4.705952,5.655981,5.643153,0.012828,0.002268
sparse,60,39,5,146,4.670543,5.965416,5.702956,0.26246,0.043997
sparse,60,40,3,142,3.089228,7.599531,7.036342,0.563189,0.074108
sparse,80,1,5,193,5.309648,5.514502,5.624463,0.109961,0.01994
sparse,80,2,8,183,7.710044,4.578386,4.684166,0.10578,0.023104
sparse,80,3,4,203,4.64774,5.936114,6.058718,0.122604,0.020654
sparse,80,4,5,196,4.992157,6.18559,6.017905,0.167685,0.027109
sparse,80,5,4,183,3.406559,7.835246,7.914047,0.078801,0.010057
sparse,80,6,8,189,7.388311,4.854391,4.938649,0.084257,0.017357
sparse,80,7,3,191,3.282798,7.654466,7.665934,0.011468,0.001498
sparse,80,8,3,167,3.232655,7.35338,7.304387,0.048993,0.006663
sparse,80,9,3,165,3.70717,6.287507,6.331839,0.044332,0.007051
sparse,80,10,5,195,4.686083,6.464913,6.398342,0.066571,0.010297
sparse,80,11,3,195,3.05872,7.787114,8.305904,0.51879,0.066622
sparse,80,12,6,194,5.906698,5.373973,5.453564,0.079591,0.01481
sparse,80,13,3,209,2.811761,8.602675,9.320633,0.717958,0.083458
sparse,80,14,6,201,5.503974,5.869736,5.927091,0.057355,0.009771
sparse,80,15,3,191,3.441296,7.301475,7.312857,0.011382,0.001559
sparse,80,16,4,175,4.244802,6.290973,6.229418,0.061555,0.009785
sparse,80,17,4,182,3.86966,6.922834,6.950558,0.027724,0.004005
sparse,80,18,3,195,3.108988,7.892345,8.171609,0.279264,0.035384
sparse,80,19,3,215,3.107953,8.267712,8.537701,0.269989,0.032656
sparse,80,20,5,200,4.788223,6.29775,6.323015,0.025265,0.004012
sparse,80,21,3,208,3.195308,7.777691,8.184476,0.406786,0.052302
sparse,80,22,6,205,5.78537,5.813327,5.678197,0.13513,0.023245
sparse,80,23,3,197,2.622984,9.223214,9.730699,0.507485,0.055023
sparse,80,24,5,195,5.531515,5.390602,5.420426,0.029824,0.005533
sparse,80,25,3,188,3.706517,6.38883,6.740181,0.351351,0.054995
sparse,80,26,6,192,5.609759,5.598492,5.720869,0.122377,0.021859
sparse,80,27,6,202,6.08393,5.213754,5.371521,0.157766,0.03026
sparse,80,28,4,197,4.059227,6.684767,6.851631,0.166864,0.024962
sparse,80,29,3,194,3.40098,7.207496,7.452549,0.245053,0.034
sparse,80,30,3,192,2.965917,8.482886,8.505331,0.022445,0.002646
sparse,80,32,3,196,3.651311,6.724996,6.974099,0.249102,0.037041
sparse,80,33,3,203,2.781564,8.749641,9.300698,0.551057,0.062981
sparse,80,34,5,199,5.025737,5.785899,6.012656,0.226756,0.039191
sparse,80,35,6,187,6.106594,5.264781,5.205438,0.059343,0.011272
sparse,80,36,3,180,3.206879,7.744918,7.633472,0.111447,0.01439
sparse,80,37,6,206,6.059008,5.169636,5.431047,0.261411,0.050567
sparse,80,38,6,182,5.678261,5.685839,5.542898,0.142941,0.02514
sparse,80,39,3,199,3.369373,7.191989,7.609812,0.417823,0.058096
sparse,80,40,3,194,2.685456,9.390468,9.438238,0.047769,0.005087
sparse,100,1,3,236,3.569505,7.1725,7.735721,0.563221,0.078525
sparse,100,2,4,235,3.523716,8.32276,8.471864,0.149103,0.017915
sparse,100,5,3,245,3.497622,7.570732,8.018473,0.447741,0.059141
sparse,100,8,4,225,4.078461,7.000847,7.196213,0.195365,0.027906
sparse,100,9,6,218,5.347572,6.285101,6.276052,0.009048,0.00144
