family,size,seed,label,status,N,E,mean_degree,s,t,terminal_fallback,L,k,wsum,B,Etilde,margin_c1,alphabar,min_edge_weight,max_edge_weight,path_status,scatter_status,n_path_edge,n_path_micro,path_min_weight,scatter_N0,scatter_N1,scatter_N2,scatter_edge_noaux,scatter_edge_aux,scatter_micro_noaux,scatter_micro_aux,ln_ratio_edge,ln_ratio_micro,c_req_edge,c_req_micro,ln_ratio_edge_noaux,ln_ratio_micro_noaux,c_req_edge_noaux,c_req_micro_noaux,frontier,dp_states,dig,max_coeff_bits,coeff_bound_bits,legacy_dig96_exact,n_matching_calls,path_wall_s,scatter_wall_s,peak_rss_mib_after_path,peak_rss_mib_final,censor_note
sparse_u12,30,1,sparseU12_N30_seed1,ok,30,72,4.8,0,1,1,3,5,3.8839935064315796,3.9284512996673584,0.988683124762284,2.022633750475432,0.505658437618858,1.0020568370819092,1.9642256498336792,ok,ok,4,64,3.8839935064315796,3158323,662064,26410,3158323,3846797,3234122752,3579860480,13.776457050831286,17.839706581172877,6.81114761760158,8.820038020714106,13.579257387371602,17.738140470731274,6.713651141329822,8.769823239902834,9,382,25,22,24,1,4,9.37003642320633e-05,0.020869526080787182,35.33203125,35.33203125,
sparse_u12,30,2,sparseU12_N30_seed2,ok,30,70,4.666666666666667,0,29,0,3,5,4.444951772689819,3.943657398223877,1.1271140780869333,1.7457718438261334,0.43644296095653334,1.0059192180633545,1.9718286991119385,ok,ok,1,16,4.444951772689819,2833075,656085,28008,2833075,3517168,2901068800,3244154368,15.073166678299343,19.127531835524305,8.634098855245671,10.956490049469073,14.85687325216502,19.015756335524692,8.51020326894713,10.892463641668474,9,382,25,22,24,1,4,5.523301661014557e-05,0.013741586357355118,35.3828125,35.3828125,
sparse_u12,30,3,sparseU12_N30_seed3,ok,30,69,4.6,0,2,1,3,5,4.149226903915405,3.9606690406799316,1.047607578744601,1.9047848425107978,0.47619621062769946,1.0022754669189453,1.9803345203399658,ok,ok,2,32,4.149226903915405,2831035,547553,21135,2831035,3399723,2898979840,3184737536,14.346057335119301,18.415899813495795,7.531589403141723,9.668230974171772,14.16300574658024,18.321888829939912,7.435488476436651,9.618875802155618,8,219,25,22,24,1,4,8.753594011068344e-05,0.018294816836714745,35.4296875,35.4296875,
sparse_u12,30,4,sparseU12_N30_seed4,ok,30,67,4.466666666666667,0,29,0,4,6,6.059922099113464,3.992924928665161,1.5176649216741729,1.9646701566516542,0.3929340313303309,1.0033785104751587,1.9964624643325806,ok,ok,3,96,6.059922099113464,12967347,3875819,227902,12967347,17071068,53114253312,61285302272,15.554283370050447,20.27445769249418,7.916994777667557,10.319522401178787,15.279332697742388,20.131362961662006,7.777047279927452,10.246688429355217,9,466,28,24,27,1,4,9.70279797911644e-05,0.020866530016064644,35.1953125,35.4140625,
sparse_u12,30,5,sparseU12_N30_seed5,ok,30,73,4.866666666666666,0,29,0,3,5,3.984819173812866,3.978062629699707,1.0016984509149542,1.9966030981700915,0.4991507745425229,1.0062717199325562,1.9890313148498535,ok,ok,4,64,3.984819173812866,3778857,665144,23645,3778857,4467646,3869549568,4216156416,13.926077844831896,18.00330666470685,6.974885422944249,9.016968210260256,13.75863777979716,17.91752086315683,6.89102295414001,8.97400233405349,10,637,25,22,24,1,4,9.520165622234344e-05,0.023237315006554127,35.40234375,35.62109375,
sparse_u12,30,6,sparseU12_N30_seed6,ok,30,73,4.866666666666666,0,29,0,3,5,4.366651773452759,3.9855246543884277,1.0956278412792342,1.8087443174415316,0.4521860793603829,1.0136350393295288,1.9927623271942139,ok,ok,6,96,4.366651773452759,3621426,710625,27042,3621426,4359093,3708340224,4079102976,13.496015096933501,17.56479475089862,7.461538353869502,9.711043502126392,13.310618959658674,17.469502043018345,7.3590384397096775,9.658359047523616,11,1024,25,22,24,1,4,5.807727575302124e-05,0.019659328274428844,35.37890625,35.59765625,
sparse_u12,30,7,sparseU12_N30_seed7,ok,30,69,4.6,0,2,1,3,5,4.4498714208602905,3.998117446899414,1.1129916716956918,1.7740166566086164,0.4435041641521541,1.0343897342681885,1.999058723449707,ok,ok,1,16,4.4498714208602905,2908370,603629,24054,2908370,3536053,2978170880,3293386752,15.078521691315125,19.142593557909663,8.499650572695693,10.790537668628499,14.883103344755039,19.04198642811471,8.389494703621912,10.73382617754967,9,382,25,22,24,1,4,7.0253387093544e-05,0.015355262905359268,35.25390625,35.47265625,
sparse_u12,30,8,sparseU12_N30_seed8,ok,30,70,4.666666666666667,0,29,0,3,5,4.058359384536743,3.946812391281128,1.0282625527126734,1.9434748945746532,0.4858687236436633,1.0387070178985596,1.973406195640564,ok,ok,4,64,4.058359384536743,2778770,535107,20405,2778770,3334282,2845460480,3124658944,13.633473560679422,17.70370789289913,7.014998546540643,9.109306192902348,13.451224580595632,17.610107663955304,6.921223741117352,9.061144917855723,8,219,25,22,24,1,4,6.532669067382812e-05,0.01142836268991232,35.5703125,35.5703125,
sparse_u12,30,9,sparseU12_N30_seed9,ok,30,69,4.6,0,29,0,3,5,3.6968345642089844,3.9353749752044678,0.9393855954010863,2.1212288091978273,0.5303072022994568,1.0236058235168457,1.9676874876022339,ok,ok,3,48,3.6968345642089844,2916718,579362,22668,2916718,3518748,2986719232,3289155584,13.975003513818208,18.04269569647445,6.588164111868278,8.505775340330942,13.7873572808427,17.94624036420237,6.4997030122632475,8.460303898563868,10,638,25,22,24,1,4,5.9421174228191376e-05,0.014997786842286587,35.61328125,35.83203125,
sparse_u12,30,10,sparseU12_N30_seed10,ok,30,72,4.8,0,1,1,3,5,4.321757555007935,3.975497007369995,1.087098681497187,1.825802637005626,0.4564506592514065,1.0115432739257812,1.9877485036849976,ok,ok,1,16,4.321757555007935,3190416,756644,32216,3190416,3979276,3266985984,3662635008,15.196610451165332,19.24885995062298,8.323249262082486,10.542683836951687,14.975661873782217,19.134544957141888,8.20223477075418,10.480073020665117,10,545,25,22,24,1,4,5.105510354042053e-05,0.016192177310585976,35.4765625,35.4765625,
sparse_u12,30,11,sparseU12_N30_seed11,ok,30,79,5.266666666666667,0,29,0,3,5,5.151525974273682,3.9726548194885254,1.2967464349034319,1.4065071301931362,0.35162678254828406,1.00525963306427,1.9863274097442627,ok,ok,1,16,5.151525974273682,5485910,1107866,41002,5485910,6634778,5617571840,6195295744,15.707835766258766,19.77446736779273,11.167974501559637,14.05927274970684,15.517693544949564,19.676576628309235,11.032786974082907,13.989674283135217,9,382,26,23,25,1,4,7.153581827878952e-05,0.01648859679698944,35.4296875,35.6484375,
sparse_u12,30,12,sparseU12_N30_seed12,ok,30,76,5.066666666666666,0,29,0,3,5,4.295960426330566,3.9724061489105225,1.0814504522677728,1.8370990954644544,0.4592747738661136,1.0066719055175781,1.9862030744552612,ok,ok,1,16,4.295960426330566,4583348,856679,31153,4583348,5471180,4693348352,5139943168,15.515004873254151,19.58771913730324,8.445382675087354,10.662309499614164,15.337940293403625,19.496823376763295,8.348999970263387,10.612831623998007,11,1024,26,23,25,1,4,5.35380095243454e-05,0.02020472101867199,35.55078125,35.98828125,
sparse_u12,30,13,sparseU12_N30_seed13,ok,30,71,4.733333333333333,0,29,0,3,5,4.0501885414123535,3.995286464691162,1.0137417121917027,1.9725165756165945,0.49312914390414864,1.0179134607315063,1.997643232345581,ok,ok,5,80,4.0501885414123535,3216020,616896,23433,3216020,3856349,3293204480,3615054080,13.5557935264816,17.62634601766071,6.872334404715537,8.93596851633596,13.37421721573303,17.533100299092702,6.780281281820075,8.888696052458764,10,638,25,22,24,1,4,6.118882447481155e-05,0.015295718796551228,35.43359375,35.65234375,
sparse_u12,30,14,sparseU12_N30_seed14,ok,30,69,4.6,0,29,0,3,5,4.532356142997742,3.9950101375579834,1.1345042908372243,1.7309914183255515,0.43274785458138787,1.0026119947433472,1.9975050687789917,ok,ok,1,16,4.532356142997742,2792058,577520,23299,2792058,3392877,2859067392,3160722176,15.037188792004063,19.101477652903775,8.687038325441302,11.034992693020572,14.8422895162876,19.001172599647273,8.574444309287834,10.977046101145765,9,360,25,22,24,1,4,9.478721767663956e-05,0.02007282990962267,35.69140625,35.69140625,
sparse_u12,30,15,sparseU12_N30_seed15,ok,30,60,4.0,0,29,0,4,6,6.7664220333099365,3.9275951385498047,1.722790103006472,1.5544197939870559,0.31088395879741115,1.0394238233566284,1.9637975692749023,ok,ok,2,64,6.7664220333099365,5707601,2057587,140587,5707601,7905775,23378333696,27736232960,15.18995688247592,19.887122361126572,9.77210721404543,12.793919916650378,14.864162172683587,19.716192436603205,9.562514727477387,12.683956105597165,8,247,27,23,26,1,4,5.9666112065315247e-05,0.011801357381045818,35.4296875,35.6484375,
sparse_u12,30,16,sparseU12_N30_seed16,ok,30,73,4.866666666666666,0,4,1,3,5,4.274933934211731,3.989686965942383,1.0714960774377373,1.8570078451245253,0.46425196128113133,1.0016074180603027,1.9948434829711914,ok,ok,3,48,4.274933934211731,3501492,714142,27885,3501492,4243519,3585527808,3958307072,14.162291147149814,18.227881252827,7.62640350945859,9.81572657362936,13.970087432671876,18.128970516031547,7.5229016772059385,9.762463073932718,11,1016,25,22,24,1,4,5.729030817747116e-05,0.017828011885285378,35.44140625,35.66015625,
