family	size	seed	label	status	L	k	E	max_coeff_bits	coeff_bound_bits	dig	legacy_dig96_exact
sparse	40	8	sparse_N40_seed8	ok	5	7	96	31	34	35	1
sparse	40	9	sparse_N40_seed9	ok	3	5	93	25	26	27	1
sparse	40	10	sparse_N40_seed10	ok	3	5	90	24	26	27	1
sparse	40	11	sparse_N40_seed11	ok	5	7	102	31	35	36	1
sparse	40	12	sparse_N40_seed12	ok	3	5	102	25	27	28	1
sparse	40	13	sparse_N40_seed13	ok	3	5	101	25	27	28	1
sparse	40	14	sparse_N40_seed14	ok	4	6	99	28	31	32	1
sparse	40	15	sparse_N40_seed15	ok	3	5	96	25	26	27	1
sparse	40	16	sparse_N40_seed16	ok	6	8	107	34	39	40	1
sparse	40	17	sparse_N40_seed17	ok	3	5	93	25	26	27	1
sparse	40	18	sparse_N40_seed18	ok	5	7	90	30	33	34	1
sparse	40	19	sparse_N40_seed19	ok	4	6	81	27	29	30	1
sparse	40	20	sparse_N40_seed20	ok	5	7	103	31	35	36	1
sparse	40	21	sparse_N40_seed21	ok	3	5	103	25	27	28	1
sparse	40	22	sparse_N40_seed22	ok	3	5	108	26	27	28	1
sparse	40	23	sparse_N40_seed23	ok	3	5	85	24	25	26	1
sparse	40	24	sparse_N40_seed24	ok	5	7	90	30	33	34	1
sparse	40	25	sparse_N40_seed25	ok	7	9	90	34	40	41	1
sparse	40	26	sparse_N40_seed26	ok	6	8	92	33	37	38	1
sparse	40	27	sparse_N40_seed27	ok	4	6	104	29	31	32	1
sparse	40	28	sparse_N40_seed28	ok	3	5	88	24	26	27	1
sparse	40	29	sparse_N40_seed29	ok	3	5	86	24	26	27	1
sparse	40	30	sparse_N40_seed30	ok	3	5	85	24	25	26	1
sparse	40	31	sparse_N40_seed31	ok	4	6	100	28	31	32	1
sparse	40	32	sparse_N40_seed32	ok	6	8	101	34	38	39	1
sparse	40	33	sparse_N40_seed33	ok	3	5	109	26	27	28	1
sparse	40	34	sparse_N40_seed34	ok	3	5	89	24	26	27	1
sparse	40	35	sparse_N40_seed35	ok	3	5	101	25	27	28	1
sparse	40	36	sparse_N40_seed36	ok	3	5	89	24	26	27	1
sparse	40	37	sparse_N40_seed37	ok	3	5	97	25	26	27	1
sparse	40	38	sparse_N40_seed38	ok	3	5	96	25	26	27	1
sparse	40	39	sparse_N40_seed39	ok	7	9	100	35	41	42	1
sparse	40	40	sparse_N40_seed40	ok	3	5	95	25	26	27	1
sparse	60	1	sparse_N60_seed1	ok	5	7	144	36	38	39	1
sparse	60	2	sparse_N60_seed2	ok	7	9	137	42	46	47	1
sparse	60	3	sparse_N60_seed3	ok	6	8	147	40	43	44	1
sparse	60	4	sparse_N60_seed4	ok	3	5	148	29	30	31	1
sparse	60	5	sparse_N60_seed5	ok	5	7	162	37	39	40	1
sparse	60	6	sparse_N60_seed6	ok	4	6	129	32	33	34	1
sparse	60	7	sparse_N60_seed7	ok	3	5	143	28	29	30	1
sparse	60	8	sparse_N60_seed8	ok	3	5	130	28	29	30	1
sparse	60	9	sparse_N60_seed9	ok	3	5	125	27	28	29	1
sparse	60	10	sparse_N60_seed10	ok	3	5	147	29	29	30	1
sparse	60	11	sparse_N60_seed11	ok	4	6	152	33	34	35	1
sparse	60	12	sparse_N60_seed12	ok	5	7	151	37	39	40	1
sparse	60	13	sparse_N60_seed13	ok	3	5	158	29	30	31	1
sparse	60	14	sparse_N60_seed14	ok	5	7	156	37	39	40	1
sparse	60	15	sparse_N60_seed15	ok	3	5	134	28	29	30	1
sparse	60	16	sparse_N60_seed16	ok	3	5	141	28	29	30	1
sparse	60	17	sparse_N60_seed17	ok	3	5	143	28	29	30	1
sparse	60	18	sparse_N60_seed18	ok	6	8	140	39	42	43	1
sparse	60	19	sparse_N60_seed19	ok	5	7	143	36	38	39	1
sparse	60	20	sparse_N60_seed20	ok	5	7	155	37	39	40	1
sparse	60	21	sparse_N60_seed21	ok	6	8	167	41	44	45	1
sparse	60	22	sparse_N60_seed22	ok	8	10	165	47	52	53	1
