c,lam,bk,graph_index,graph_seed,sampler_seed,L,L_contain,n_edges,opt_weight,steps,contain_count,density,mean_active,chance,chance_origL,b_st_resolved
2,0,-3,6,138,0,8,10,143,1.66435845196,10000,0,0.246768531469,89.7,0.00837332148648,0.137504912078,-3
2,0,-3,6,138,1,8,10,143,1.66435845196,10000,0,0.248504195804,90.2382,0.00898125978483,0.145435291895,-3
2,0,-3,6,138,2,8,10,143,1.66435845196,10000,0,0.247262937063,89.5322,0.00854260324192,0.139724379277,-3
2,0,-3,7,151,0,9,11,154,1.20385185885,10000,0,0.238353896104,93.4673,0.00141073294214,0.0248313480466,-3
2,0,-3,7,151,1,9,11,154,1.20385185885,10000,0,0.240245454545,93.9804,0.00153888786506,0.0266622389272,-3
2,0,-3,7,151,2,9,11,154,1.20385185885,10000,0,0.241501298701,94.3024,0.00162972443152,0.0279431418285,-3
3,0,-3.5,0,19,0,8,10,144,0.548768615816,10000,36,0.306626388889,108.3414,0.0734675037668,0.781405074299,-3.5
3,0,-3.5,0,19,1,8,10,144,0.548768615816,10000,35,0.296209722222,105.0411,0.0519987721479,0.5926447902,-3.5
3,0,-3.5,0,19,2,8,10,144,0.548768615816,10000,54,0.294003472222,104.2058,0.0482530306216,0.558238359922,-3.5
3,0,-3.5,1,23,0,9,11,129,1.8382567222,10000,4,0.242331782946,78.407,0.00169244340107,0.0288199616527,-3.5
3,0,-3.5,1,23,1,9,11,129,1.8382567222,10000,0,0.246220930233,79.7457,0.00201639051258,0.0332601887761,-3.5
3,0,-3.5,1,23,2,9,11,129,1.8382567222,10000,16,0.24772248062,79.9849,0.00215585537433,0.0351308600729,-3.5
3,0,-3.5,2,52,0,9,11,145,1.44176854519,10000,0,0.252728965517,90.9023,0.00268661364796,0.0420625092663,-3.5
3,0,-3.5,2,52,1,9,11,145,1.44176854519,10000,10,0.255515862069,91.9371,0.00303107388468,0.046425949145,-3.5
3,0,-3.5,2,52,2,9,11,145,1.44176854519,10000,2,0.257334482759,92.4512,0.0032770105543,0.0494859451229,-3.5
3,0,-3.5,3,83,0,8,10,158,1.58720821142,10000,110,0.277253797468,108.9061,0.0268395378058,0.349156415405,-3.5
3,0,-3.5,3,83,1,8,10,158,1.58720821142,10000,16,0.269227848101,106.3402,0.0200078212901,0.276032259044,-3.5
3,0,-3.5,3,83,2,8,10,158,1.58720821142,10000,69,0.276158860759,108.7443,0.0257982248962,0.338276524173,-3.5
3,0,-3.5,4,91,0,8,10,150,0.654524138197,10000,25,0.281998666667,104.7019,0.0318031801366,0.399923053142,-3.5
3,0,-3.5,4,91,1,8,10,150,0.654524138197,10000,27,0.279178666667,104.0588,0.0287622123073,0.369026734471,-3.5
3,0,-3.5,4,91,2,8,10,150,0.654524138197,10000,11,0.285441333333,106.0843,0.035906131201,0.440691719989,-3.5
3,0,-3.5,5,118,0,8,10,124,2.08219689131,10000,1,0.232173387097,72.8326,0.00455118376942,0.0844305265149,-3.5
3,0,-3.5,5,118,1,8,10,124,2.08219689131,10000,0,0.235943548387,74.01,0.00534664150528,0.0960428087357,-3.5
3,0,-3.5,5,118,2,8,10,124,2.08219689131,10000,0,0.234906451613,73.7915,0.00511622277539,0.0927170397986,-3.5
3,0,-3.5,6,138,0,8,10,143,1.66435845196,10000,0,0.252734265734,89.6796,0.0106326440686,0.166461199879,-3.5
3,0,-3.5,6,138,1,8,10,143,1.66435845196,10000,4,0.245557342657,87.3753,0.00797130174858,0.132197547871,-3.5
3,0,-3.5,6,138,2,8,10,143,1.66435845196,10000,0,0.244706293706,87.439,0.0076993026762,0.128576356359,-3.5
3,0,-3.5,7,151,0,9,11,154,1.20385185885,10000,0,0.274736363636,105.126,0.00673096919117,0.0891754503591,-3.5
3,0,-3.5,7,151,1,9,11,154,1.20385185885,10000,0,0.281021428571,107.2603,0.00863244478184,0.109308751687,-3.5
3,0,-3.5,7,151,2,9,11,154,1.20385185885,10000,6,0.280267532468,106.799,0.00838109356658,0.10669771266,-3.5
