family,size,seed,label,status,N,E,s,t,terminal_fallback,L,m,wstar,wmax,lightsum_m,lightsum_m_minus_1,girth,girth_exact,cert_sharp_margin,cert_pure_margin,cert39_margin,rho,gamma,gamma_threshold,gamma_sharp,gamma_sharp_threshold,cycle_cert,cycle_bound,cycle_note,cycle_witness_delta,pure_status,delta_min_pure,delta_both_aux,delta_one_aux_S,delta_one_aux_T,delta_aux_free,argmin_subcase,dfs_nodes,witness_subcase,witness_walk,witness_weights,verdict,verdict_note,censor_note,cycle_wall_s,pure_wall_s,total_wall_s,cycle_rss_mib,pure_rss_mib,peak_rss_mib
sparse,20,11,sparse_N20_seed11,ok,20,58,0,19,0,3,5,0.600567638874054,0.9909294843673706,0.18341234978288412,0.12992273923009634,0.43225751258432865,1,-0.4706448996439576,-0.46640652138739824,-1.4080847734585404,0.10101082676222053,0.18323899382265701,1.5899928869545834,0.1622499250962921,0.75,OPEN,-0.1683101262897253,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.2742607179097831,,,,,,,one_aux_S,0 8 17 13 2,0.137791365 0.0292040948 0.153577015 0.011468892,WITNESS,pure-path one_aux_S,,0.00011992454528808594,6.4849853515625e-05,0.010063409805297852,35.58984375,35.58984375,35.58984375
sparse,20,12,sparse_N20_seed12,ok,20,54,0,19,0,4,6,1.2203858643770218,0.9956167340278625,0.2723431335762143,0.19550486374646425,0.3436449384316802,1,-1.0248810006305575,-1.0217334507033229,-1.94365946482867,0.1532198363420222,0.14877432978420535,1.2105475069210188,0.12815937611421932,0.8,OPEN,-0.8767409259453416,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.4798179352656007,,,,,,,one_aux_S,0 8 15 12 10 9,0.435071498 0.0126362434 0.07054317 0.136893883 0.170846269,WITNESS,pure-path one_aux_S,,6.0558319091796875e-05,6.008148193359375e-05,0.0072557926177978516,35.65625,35.65625,35.65625
sparse,20,13,sparse_N20_seed13,ok,20,42,0,19,0,5,7,0.9676827490329742,0.9994829297065735,0.9972255043685436,0.7943994663655758,0.9053409434854984,1,-0.17328328266739845,-0.17310472950339317,-0.9699401743710041,0.09681833678911003,0.7360924150023727,1.4520444260900425,0.684108046739695,0.8333333333333334,OPEN,-0.062341805547475815,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.17412331514060497,,,,,,,one_aux_T,19 10 13 3 8 1 11,0.202468932 0.202826038 0.0884202272 0.157737941 0.118930824 0.0463509448,WITNESS,pure-path one_aux_T,,0.0001289844512939453,7.486343383789062e-05,0.007859230041503906,35.63671875,35.63671875,35.63671875
sparse,20,14,sparse_N20_seed14,ok,20,49,0,19,0,5,7,0.8444869760423899,0.9986181855201721,0.3509001408237964,0.25196584057994187,0.5796682685613632,1,-0.592521135462448,-0.5885802626144141,-1.4922050207387656,0.0845655515078071,0.2967990802012107,1.5589390057855883,0.2486379775809337,0.8333333333333334,OPEN,-0.26481870748102665,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.01011725515127182,,,,,,,one_aux_S,0 12 1 9 17 14 3,0.244212732 0.0140381102 0.0989343002 0.071820125 0.221301332 0.368126243,WITNESS,pure-path one_aux_S,,0.0001266002655029297,7.939338684082031e-05,0.009311914443969727,35.63671875,35.63671875,35.63671875
sparse,20,15,sparse_N20_seed15,ok,20,34,0,5,1,3,5,1.7517553865909576,0.9508928656578064,0.6170275202021003,0.41878373827785254,1.4302096217870712,1,-1.332971648313105,-1.3311616936698556,-2.0856207320466638,0.30703693511941754,0.21134030182246405,0.9256937148656282,0.1792988941907163,0.75,OPEN,-0.3215457648038864,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.7795768715441227,,,,,,,one_aux_S,0 15 10 9 14,0.153891921 0.0618381463 0.488610327 0.535676241,WITNESS,pure-path one_aux_S,,0.00011610984802246094,5.459785461425781e-05,0.008311033248901367,35.63671875,35.63671875,35.63671875
sparse,20,16,sparse_N20_seed16,ok,20,51,0,19,0,3,5,0.633087046444416,0.9687433838844299,0.2165274154394865,0.15118849091231823,0.3899190090596676,1,-0.4818985555320978,-0.4803948849439621,-1.3853030148893595,0.10891894540497195,0.2052110369234957,1.5181139206608145,0.1791086531008248,0.75,OPEN,-0.24316803738474846,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.36740481574088335,,,,,,,one_aux_S,0 3 7 2 11,0.0886775255 0.125138655 0.0476597808 0.0084125381,WITNESS,pure-path one_aux_S,,0.00010061264038085938,5.555152893066406e-05,0.007821798324584961,35.63671875,35.63671875,35.63671875
sparse,20,17,sparse_N20_seed17,ok,20,43,0,6,1,3,5,0.44196829199790955,0.9452980756759644,0.20102239027619362,0.12200446054339409,0.4876199923455715,1,-0.31996383145451546,-0.30029853247106075,-1.1862439773976803,0.07792397328956559,0.2729006500002191,1.8833021184430607,0.2070359957134173,0.75,GIRTH,0.04565170034766197,bracket >= 0 and every cycle weighs >= girth,,witness,-0.0453822948038578,,,,,,,one_aux_S,0 10 7 15 8,0.0790179297 0.170060948 0.0396873318 0.215639576,WITNESS,pure-path one_aux_S,,7.62939453125e-05,5.507469177246094e-05,0.008220672607421875,35.75,35.75,35.75
sparse,20,18,sparse_N20_seed18,ok,20,51,0,1,1,3,5,1.1768634542822838,0.9991071820259094,0.34172165486961603,0.2310557896271348,0.7034822339192033,1,-0.945807664655149,-0.9407063154503703,-1.8342489814385772,0.19631918634527518,0.1742198656740599,1.1093745642574415,0.14724889415997205,0.75,OPEN,-0.4733812203630805,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.24571238830685616,,,,,,,one_aux_S,0 10 13 17 4,0.208656803 0.48603639 0.203853801 0.0652081445,WITNESS,pure-path one_aux_S,,0.00011014938354492188,6.031990051269531e-05,0.008896350860595703,35.63671875,35.63671875,35.63671875
sparse,20,19,sparse_N20_seed19,ok,20,55,0,19,0,4,6,0.7420447319746017,0.9901102185249329,0.3002430386841297,0.19053370878100395,0.5712573528289795,1,-0.5515110231935978,-0.5398210734128952,-1.431911911815405,0.09368208686403882,0.2697438808800422,1.5561999394926158,0.20541479570805757,0.8,OPEN,-0.17078737914562225,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.11718328157439828,,,,,,,one_aux_S,0 10 3 8 12 7,0.268667459 0.0514353812 0.159826443 0.137758449 0.0143474368,WITNESS,pure-path one_aux_S,,0.00014734268188476562,7.081031799316406e-05,0.0093536376953125,35.63671875,35.63671875,35.63671875
sparse,20,20,sparse_N20_seed20,ok,20,46,0,19,0,5,7,0.4727617319440469,0.9710884690284729,0.5613776560639963,0.3945301737403497,0.8733008321141824,1,-0.0782315582036972,-0.05738675594329834,-0.8824725449085236,0.048683693301087405,0.8481736421364358,2.1814827690945364,0.6954351897977574,0.8333333333333334,GIRTH,0.4005391001701355,bracket >= 0 and every cycle weighs >= girth,,ok,0.0472135990858078,0.7210200144909322,0.2750222533941269,0.0472135990858078,0.14539257436990738,one_aux_T,289,,,,CERTIFIED,GIRTH,,0.0001277923583984375,0.00017642974853515625,0.010345697402954102,35.63671875,35.63671875,35.63671875
